IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.121.24	8443	8443	TRUE	SIN	Asia Pacific	Singapore	75	11.08
47.245.12.179	80	80	FALSE	LAX	North America	Los Angeles	183	11.08
47.245.28.255	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	75	11.08
8.222.240.47	2087	0	TRUE	SIN	Asia Pacific	Singapore	4	11.08
47.91.21.149	2053	2053	TRUE	LAX	North America	Los Angeles	284	11.07
8.219.87.34	2095	2095	FALSE	SIN	Asia Pacific	Singapore	4	11.07
47.245.41.69	8080	8080	FALSE	LAX	North America	Los Angeles	193	11.07
8.219.65.191	2083	2083	TRUE	SIN	Asia Pacific	Singapore	57	11.07
47.245.108.213	2087	2087	TRUE	SIN	Asia Pacific	Singapore	58	11.07
8.219.156.148	8080	8080	FALSE	SIN	Asia Pacific	Singapore	15	11.07
8.218.65.237	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	62	11.07
8.219.93.85	2087	2087	TRUE	SIN	Asia Pacific	Singapore	90	11.06
8.219.103.57	8443	8443	TRUE	SIN	Asia Pacific	Singapore	56	11.06
8.219.56.205	8080	8080	FALSE	SIN	Asia Pacific	Singapore	23	11.06
47.74.52.188	2087	2087	TRUE	SIN	Asia Pacific	Singapore	158	11.06
8.219.66.156	2052	2052	FALSE	SIN	Asia Pacific	Singapore	5	11.06
47.74.3.2	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	144	11.06
47.74.15.120	80	80	FALSE	LAX	North America	Los Angeles	180	11.05
8.218.211.17	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	74	11.05
47.74.37.50	8080	8080	FALSE	SIN	Asia Pacific	Singapore	159	11.05
47.245.39.49	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	367	11.05
8.219.102.252	2087	2087	TRUE	SIN	Asia Pacific	Singapore	95	11.05
8.219.84.102	2087	2087	TRUE	SIN	Asia Pacific	Singapore	47	11.05
47.74.52.188	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	166	11.04
47.245.55.94	80	80	FALSE	SIN	Asia Pacific	Singapore	165	11.03
47.245.54.98	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	78	11.03
8.219.84.102	443	443	TRUE	SIN	Asia Pacific	Singapore	123	11.03
47.74.42.111	2082	2082	FALSE	NRT	Asia Pacific	Tokyo	253	11.03
8.219.112.75	2086	2086	FALSE	SIN	Asia Pacific	Singapore	7	11.03
47.245.59.188	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	79	11.02
47.236.82.218	8080	8080	FALSE	SIN	Asia Pacific	Singapore	31	11.02
8.219.142.191	2096	2096	TRUE	SIN	Asia Pacific	Singapore	116	11.02
47.91.21.149	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	143	11.02
47.245.34.140	2096	2096	TRUE	SIN	Asia Pacific	Singapore	269	11.02
8.222.144.219	2082	2082	FALSE	SIN	Asia Pacific	Singapore	9	11.02
47.74.49.62	80	80	FALSE	NRT	Asia Pacific	Tokyo	78	11.02
8.209.241.128	2086	2086	FALSE	SIN	Asia Pacific	Singapore	162	11.01
8.219.106.15	2086	2086	FALSE	SIN	Asia Pacific	Singapore	6	11.01
47.245.32.215	2082	2082	FALSE	SIN	Asia Pacific	Singapore	158	11.01
47.74.9.174	8880	8880	FALSE	LAX	North America	Los Angeles	181	11
8.219.111.175	80	80	FALSE	SIN	Asia Pacific	Singapore	12	11
8.219.56.205	2095	2095	FALSE	SIN	Asia Pacific	Singapore	10	11
47.74.40.13	2086	2086	FALSE	SIN	Asia Pacific	Singapore	151	10.99
8.219.84.214	2082	2082	FALSE	SIN	Asia Pacific	Singapore	7	10.99
8.209.246.24	2095	2095	FALSE	SIN	Asia Pacific	Singapore	164	10.98
8.217.193.25	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	87	10.98
47.74.42.17	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	232	10.98
47.74.50.64	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	81	10.98
8.222.255.15	8880	8880	FALSE	SIN	Asia Pacific	Singapore	20	10.98
47.245.82.78	2095	2095	FALSE	SIN	Asia Pacific	Singapore	6	10.98
8.219.66.156	8880	8880	FALSE	SIN	Asia Pacific	Singapore	13	10.98
47.245.8.68	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	182	10.97
8.222.208.83	8880	8880	FALSE	SIN	Asia Pacific	Singapore	27	10.97
8.222.164.44	2053	2053	TRUE	SIN	Asia Pacific	Singapore	147	10.97
47.74.42.17	2082	2082	FALSE	SIN	Asia Pacific	Singapore	159	10.97
47.91.15.247	2087	2087	TRUE	SIN	Asia Pacific	Singapore	155	10.97
47.74.23.99	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	98	10.96
8.219.121.24	2095	2095	FALSE	SIN	Asia Pacific	Singapore	6	10.96
47.74.34.38	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	79	10.96
8.222.136.196	2083	2083	TRUE	SIN	Asia Pacific	Singapore	88	10.96
47.245.4.189	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	273	10.96
47.245.58.175	2095	2095	FALSE	SIN	Asia Pacific	Singapore	170	10.96
8.222.168.24	80	80	FALSE	SIN	Asia Pacific	Singapore	61	10.96
47.245.33.163	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	312	10.96
8.219.77.91	2086	2086	FALSE	SIN	Asia Pacific	Singapore	7	10.95
8.218.188.129	2096	2096	TRUE	SIN	Asia Pacific	Singapore	73	10.95
8.219.151.193	80	80	FALSE	SIN	Asia Pacific	Singapore	8	10.95
47.236.65.177	8880	8880	FALSE	SIN	Asia Pacific	Singapore	29	10.95
47.245.52.165	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	177	10.95
47.74.20.95	80	80	FALSE	SIN	Asia Pacific	Singapore	162	10.95
8.219.140.229	2087	2087	TRUE	SIN	Asia Pacific	Singapore	66	10.94
8.219.142.229	443	443	TRUE	SIN	Asia Pacific	Singapore	50	10.94
47.91.23.146	2087	2087	TRUE	SIN	Asia Pacific	Singapore	148	10.94
8.222.229.102	80	80	FALSE	SIN	Asia Pacific	Singapore	33	10.94
8.222.159.252	2052	2052	FALSE	SIN	Asia Pacific	Singapore	10	10.94
47.74.4.47	80	80	FALSE	NRT	Asia Pacific	Tokyo	80	10.94
47.245.39.49	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	172	10.94
47.236.7.206	2096	2096	TRUE	SIN	Asia Pacific	Singapore	102	10.93
47.245.41.69	2053	2053	TRUE	SIN	Asia Pacific	Singapore	174	10.93
47.236.19.51	2052	2052	FALSE	SIN	Asia Pacific	Singapore	20	10.93
8.219.161.129	8880	8880	FALSE	SIN	Asia Pacific	Singapore	16	10.93
8.219.129.38	2087	2087	TRUE	SIN	Asia Pacific	Singapore	77	10.92
47.245.82.78	80	80	FALSE	SIN	Asia Pacific	Singapore	13	10.92
47.245.52.240	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	173	10.92
47.245.89.102	2052	2052	FALSE	SIN	Asia Pacific	Singapore	5	10.92
47.245.56.29	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	77	10.91
47.74.5.233	80	80	FALSE	SIN	Asia Pacific	Singapore	149	10.91
47.245.11.216	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	169	10.91
47.74.13.239	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	81	10.91
8.219.73.188	80	80	FALSE	SIN	Asia Pacific	Singapore	10	10.91
8.219.154.107	2083	2083	TRUE	SIN	Asia Pacific	Singapore	122	10.91
8.222.140.87	2083	2083	TRUE	SIN	Asia Pacific	Singapore	65	10.9
8.219.100.155	2083	2083	TRUE	SIN	Asia Pacific	Singapore	112	10.9
8.222.152.165	2052	2052	FALSE	SIN	Asia Pacific	Singapore	23	10.9
47.74.27.94	2095	2095	FALSE	HKG	Asia Pacific	Hong Kong	323	10.9
47.74.37.50	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	171	10.9
8.219.6.157	80	80	FALSE	SIN	Asia Pacific	Singapore	3	10.9
47.91.21.149	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	101	10.9
8.219.129.38	2082	2082	FALSE	SIN	Asia Pacific	Singapore	17	10.89
47.243.86.79	2083	2083	TRUE	SIN	Asia Pacific	Singapore	115	10.89
8.219.107.199	2087	2087	TRUE	SIN	Asia Pacific	Singapore	83	10.89
8.219.100.155	2096	2096	TRUE	SIN	Asia Pacific	Singapore	118	10.89
8.219.43.243	2086	2086	FALSE	SIN	Asia Pacific	Singapore	5	10.89
8.222.254.91	2096	2096	TRUE	SIN	Asia Pacific	Singapore	96	10.88
47.236.103.153	2053	2053	TRUE	SIN	Asia Pacific	Singapore	78	10.88
8.222.137.166	80	80	FALSE	SIN	Asia Pacific	Singapore	29	10.88
47.245.4.219	8880	8880	FALSE	SIN	Asia Pacific	Singapore	160	10.87
47.74.13.200	2095	2095	FALSE	SIN	Asia Pacific	Singapore	155	10.87
8.219.6.187	2053	2053	TRUE	SIN	Asia Pacific	Singapore	30	10.87
8.219.83.201	2087	2087	TRUE	SIN	Asia Pacific	Singapore	90	10.87
47.236.114.23	2087	2087	TRUE	SIN	Asia Pacific	Singapore	65	10.87
8.222.209.223	2052	2052	FALSE	SIN	Asia Pacific	Singapore	16	10.86
8.219.111.147	2052	2052	FALSE	SIN	Asia Pacific	Singapore	11	10.86
47.236.148.174	8443	8443	TRUE	SIN	Asia Pacific	Singapore	75	10.86
47.74.10.135	2086	2086	FALSE	LAX	North America	Los Angeles	189	10.85
47.74.15.117	2095	2095	FALSE	LAX	North America	Los Angeles	180	10.85
47.245.90.176	2087	2087	TRUE	SIN	Asia Pacific	Singapore	99	10.85
47.245.33.163	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	76	10.85
8.222.209.223	443	443	TRUE	SIN	Asia Pacific	Singapore	100	10.85
8.219.98.13	8080	8080	FALSE	SIN	Asia Pacific	Singapore	5	10.84
47.245.115.6	8080	8080	FALSE	SIN	Asia Pacific	Singapore	16	10.84
8.219.51.211	2087	2087	TRUE	SIN	Asia Pacific	Singapore	36	10.84
47.245.56.29	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	85	10.84
47.245.41.169	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	217	10.84
47.74.15.120	2083	0	TRUE	HKG	Asia Pacific	Hong Kong	173	10.83
8.219.250.239	2087	2087	TRUE	SIN	Asia Pacific	Singapore	53	10.83
47.74.12.139	2082	2082	FALSE	LAX	North America	Los Angeles	179	10.83
8.219.154.107	2086	2086	FALSE	SIN	Asia Pacific	Singapore	5	10.83
8.222.154.227	2096	2096	TRUE	SIN	Asia Pacific	Singapore	90	10.83
8.219.61.52	443	443	TRUE	SIN	Asia Pacific	Singapore	43	10.83
47.236.15.73	2053	2053	TRUE	SIN	Asia Pacific	Singapore	38	10.83
47.245.4.143	8080	8080	FALSE	SIN	Asia Pacific	Singapore	161	10.82
8.219.84.214	8880	8880	FALSE	SIN	Asia Pacific	Singapore	14	10.82
8.217.85.14	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	73	10.82
47.74.23.99	8080	8080	FALSE	HKG	Asia Pacific	Hong Kong	178	10.81
47.245.37.37	80	80	FALSE	HKG	Asia Pacific	Hong Kong	170	10.81
47.245.14.12	2052	2052	FALSE	SIN	Asia Pacific	Singapore	156	10.81
8.222.144.117	2087	2087	TRUE	SIN	Asia Pacific	Singapore	43	10.8
47.245.56.29	2095	2095	FALSE	NRT	Asia Pacific	Tokyo	94	10.8
47.236.104.11	2096	2096	TRUE	SIN	Asia Pacific	Singapore	92	10.8
47.74.5.99	8443	8443	TRUE	SIN	Asia Pacific	Singapore	208	10.8
8.219.103.126	2053	2053	TRUE	SIN	Asia Pacific	Singapore	72	10.8
8.219.63.193	2083	2083	TRUE	SIN	Asia Pacific	Singapore	38	10.79
8.218.143.10	8080	8080	FALSE	SIN	Asia Pacific	Singapore	84	10.79
47.236.144.156	80	80	FALSE	SIN	Asia Pacific	Singapore	19	10.79
47.245.10.156	2087	2087	TRUE	SIN	Asia Pacific	Singapore	262	10.79
47.91.18.207	2087	2087	TRUE	LAX	North America	Los Angeles	208	10.79
8.219.142.229	2083	2083	TRUE	SIN	Asia Pacific	Singapore	49	10.79
47.245.90.176	2052	2052	FALSE	SIN	Asia Pacific	Singapore	5	10.79
8.219.97.179	8443	8443	TRUE	SIN	Asia Pacific	Singapore	40	10.79
47.88.15.127	443	443	TRUE	SJC	North America	San Jose	238	10.78
8.219.92.89	2083	2083	TRUE	SIN	Asia Pacific	Singapore	110	10.78
47.236.4.129	2082	2082	FALSE	SIN	Asia Pacific	Singapore	20	10.77
8.219.103.126	443	443	TRUE	SIN	Asia Pacific	Singapore	65	10.77
8.219.61.52	443	443	TRUE	SIN	Asia Pacific	Singapore	140	10.77
47.91.3.112	2096	2096	TRUE	SIN	Asia Pacific	Singapore	151	10.77
8.222.153.11	2083	2083	TRUE	SIN	Asia Pacific	Singapore	125	10.77
47.236.114.167	2087	2087	TRUE	SIN	Asia Pacific	Singapore	180	10.76
8.219.82.35	2053	2053	TRUE	SIN	Asia Pacific	Singapore	52	10.76
47.74.26.132	80	80	FALSE	LAX	North America	Los Angeles	183	10.76
8.218.2.181	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	66	10.76
47.236.144.48	2083	2083	TRUE	SIN	Asia Pacific	Singapore	67	10.76
8.219.161.129	8080	8080	FALSE	SIN	Asia Pacific	Singapore	4	10.76
8.219.185.191	8880	8880	FALSE	SIN	Asia Pacific	Singapore	23	10.75
47.74.41.87	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	140	10.75
47.91.16.214	80	80	FALSE	LAX	North America	Los Angeles	176	10.75
47.74.14.85	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	191	10.75
8.222.140.185	8080	8080	FALSE	SIN	Asia Pacific	Singapore	16	10.75
8.219.77.91	8443	8443	TRUE	SIN	Asia Pacific	Singapore	94	10.75
8.219.228.193	443	443	TRUE	SIN	Asia Pacific	Singapore	7	10.75
47.245.12.126	8880	8880	FALSE	LAX	North America	Los Angeles	179	10.75
47.74.52.104	80	80	FALSE	HKG	Asia Pacific	Hong Kong	166	10.74
47.245.59.188	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	84	10.74
47.74.15.80	2082	2082	FALSE	SIN	Asia Pacific	Singapore	155	10.74
8.222.145.110	80	80	FALSE	SIN	Asia Pacific	Singapore	21	10.74
47.74.5.233	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	119	10.74
8.219.55.31	2096	2096	TRUE	SIN	Asia Pacific	Singapore	34	10.74
8.219.159.232	2096	2096	TRUE	SIN	Asia Pacific	Singapore	79	10.74
47.245.13.93	8080	8080	FALSE	SIN	Asia Pacific	Singapore	158	10.74
47.245.6.9	80	80	FALSE	HKG	Asia Pacific	Hong Kong	167	10.74
8.222.229.22	80	80	FALSE	SIN	Asia Pacific	Singapore	27	10.74
8.219.104.242	2083	2083	TRUE	SIN	Asia Pacific	Singapore	89	10.74
8.219.43.243	2083	2083	TRUE	SIN	Asia Pacific	Singapore	5	10.74
8.219.73.21	2053	2053	TRUE	SIN	Asia Pacific	Singapore	159	10.74
47.236.145.85	443	443	TRUE	SIN	Asia Pacific	Singapore	81	10.73
8.222.167.8	2053	2053	TRUE	SIN	Asia Pacific	Singapore	102	10.72
8.219.145.245	8880	8880	FALSE	SIN	Asia Pacific	Singapore	8	10.72
8.219.122.55	2086	2086	FALSE	SIN	Asia Pacific	Singapore	10	10.72
47.91.15.247	2096	2096	TRUE	SIN	Asia Pacific	Singapore	224	10.72
47.245.37.12	80	80	FALSE	SIN	Asia Pacific	Singapore	161	10.72
8.218.52.115	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	37	10.72
8.222.168.234	2087	2087	TRUE	SIN	Asia Pacific	Singapore	110	10.71
47.74.33.65	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	75	10.71
8.218.119.115	2082	2082	FALSE	SIN	Asia Pacific	Singapore	107	10.71
8.219.77.222	2096	2096	TRUE	SIN	Asia Pacific	Singapore	66	10.71
47.245.34.36	80	80	FALSE	SIN	Asia Pacific	Singapore	156	10.71
47.245.126.151	2083	2083	TRUE	SIN	Asia Pacific	Singapore	53	10.71
47.74.45.143	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	73	10.71
8.219.156.148	2096	2096	TRUE	SIN	Asia Pacific	Singapore	83	10.71
8.222.175.78	2083	2083	TRUE	SIN	Asia Pacific	Singapore	53	10.71
8.219.60.54	2083	2083	TRUE	SIN	Asia Pacific	Singapore	89	10.7
8.219.151.193	2082	2082	FALSE	SIN	Asia Pacific	Singapore	13	10.7
47.74.49.62	2096	2096	TRUE	SIN	Asia Pacific	Singapore	282	10.69
47.245.2.231	8080	0	FALSE	NRT	Asia Pacific	Tokyo	82	10.69
8.219.6.187	80	80	FALSE	SIN	Asia Pacific	Singapore	3	10.69
47.242.171.94	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	61	10.69
8.222.154.50	2096	2096	TRUE	SIN	Asia Pacific	Singapore	108	10.69
8.219.113.27	2087	2087	TRUE	SIN	Asia Pacific	Singapore	60	10.69
8.219.73.188	443	443	TRUE	SIN	Asia Pacific	Singapore	63	10.69
8.219.122.96	2053	2053	TRUE	SIN	Asia Pacific	Singapore	97	10.69
8.219.126.3	80	80	FALSE	SIN	Asia Pacific	Singapore	13	10.68
8.219.101.72	8880	8880	FALSE	SIN	Asia Pacific	Singapore	8	10.68
47.245.8.68	8880	8880	FALSE	SIN	Asia Pacific	Singapore	159	10.68
47.91.3.135	2095	2095	FALSE	SIN	Asia Pacific	Singapore	146	10.68
8.222.180.86	2082	2082	FALSE	SIN	Asia Pacific	Singapore	12	10.68
47.91.17.102	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	220	10.68
8.222.222.64	2083	2083	TRUE	SIN	Asia Pacific	Singapore	83	10.67
47.236.11.84	80	80	FALSE	SIN	Asia Pacific	Singapore	27	10.67
47.236.88.181	2083	2083	TRUE	SIN	Asia Pacific	Singapore	121	10.67
47.236.82.218	2087	2087	TRUE	SIN	Asia Pacific	Singapore	80	10.67
8.218.18.132	80	80	FALSE	SIN	Asia Pacific	Singapore	74	10.67
47.74.54.33	2052	2052	FALSE	LAX	North America	Los Angeles	185	10.67
8.219.157.97	8880	8880	FALSE	SIN	Asia Pacific	Singapore	8	10.67
8.209.242.25	2052	2052	FALSE	SIN	Asia Pacific	Singapore	157	10.67
8.219.126.240	2096	2096	TRUE	SIN	Asia Pacific	Singapore	148	10.66
8.222.226.15	80	80	FALSE	SIN	Asia Pacific	Singapore	18	10.66
47.91.10.228	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	142	10.66
47.74.22.171	2052	2052	FALSE	LAX	North America	Los Angeles	179	10.66
8.219.110.88	2082	2082	FALSE	SIN	Asia Pacific	Singapore	9	10.66
8.219.113.27	2083	2083	TRUE	SIN	Asia Pacific	Singapore	77	10.66
8.222.167.147	2087	2087	TRUE	SIN	Asia Pacific	Singapore	110	10.66
8.219.100.168	8080	8080	FALSE	SIN	Asia Pacific	Singapore	11	10.66
47.245.11.216	8443	8443	TRUE	SIN	Asia Pacific	Singapore	189	10.65
8.219.113.27	8880	8880	FALSE	SIN	Asia Pacific	Singapore	12	10.65
47.245.37.89	2052	2052	FALSE	LAX	North America	Los Angeles	171	10.65
47.245.80.142	2095	2095	FALSE	SIN	Asia Pacific	Singapore	11	10.65
47.91.31.231	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	172	10.65
47.245.39.28	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	81	10.65
47.236.145.180	2052	2052	FALSE	SIN	Asia Pacific	Singapore	12	10.64
8.209.214.157	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	76	10.64
8.219.63.193	2052	2052	FALSE	SIN	Asia Pacific	Singapore	16	10.64
8.219.72.51	2095	2095	FALSE	SIN	Asia Pacific	Singapore	5	10.64
8.219.140.229	8443	8443	TRUE	SIN	Asia Pacific	Singapore	76	10.63
47.245.15.207	2086	2086	FALSE	SIN	Asia Pacific	Singapore	165	10.63
8.218.126.53	2087	2087	TRUE	SIN	Asia Pacific	Singapore	153	10.63
8.219.126.3	2095	2095	FALSE	SIN	Asia Pacific	Singapore	16	10.63
47.245.33.56	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	77	10.63
47.91.16.198	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	183	10.62
8.219.124.227	8080	8080	FALSE	SIN	Asia Pacific	Singapore	11	10.62
8.222.147.203	2083	2083	TRUE	SIN	Asia Pacific	Singapore	99	10.62
47.76.80.72	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	41	10.61
8.219.101.72	8443	8443	TRUE	SIN	Asia Pacific	Singapore	57	10.61
8.218.85.128	80	80	FALSE	HKG	Asia Pacific	Hong Kong	41	10.61
47.76.94.15	443	443	TRUE	HKG	Asia Pacific	Hong Kong	65	10.6
8.219.84.102	2083	2083	TRUE	SIN	Asia Pacific	Singapore	95	10.6
47.74.46.84	80	80	FALSE	HKG	Asia Pacific	Hong Kong	168	10.6
8.219.42.72	2086	2086	FALSE	SIN	Asia Pacific	Singapore	29	10.6
47.74.5.99	2082	2082	FALSE	SIN	Asia Pacific	Singapore	157	10.6
8.222.237.131	2052	2052	FALSE	SIN	Asia Pacific	Singapore	17	10.6
8.219.40.255	2095	2095	FALSE	SIN	Asia Pacific	Singapore	6	10.6
47.243.173.187	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	66	10.59
8.222.129.32	2053	2053	TRUE	SIN	Asia Pacific	Singapore	70	10.58
47.236.79.77	8443	8443	TRUE	SIN	Asia Pacific	Singapore	88	10.58
47.74.52.104	8443	8443	TRUE	SIN	Asia Pacific	Singapore	182	10.58
47.74.41.87	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	71	10.58
8.209.214.157	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	86	10.58
8.209.243.172	8880	8880	FALSE	SIN	Asia Pacific	Singapore	164	10.58
47.91.15.247	2083	2083	TRUE	SIN	Asia Pacific	Singapore	166	10.57
47.245.108.213	2082	2082	FALSE	SIN	Asia Pacific	Singapore	10	10.57
47.236.83.239	2083	2083	TRUE	SIN	Asia Pacific	Singapore	72	10.57
8.222.226.15	2086	2086	FALSE	SIN	Asia Pacific	Singapore	27	10.57
8.219.140.63	2096	2096	TRUE	SIN	Asia Pacific	Singapore	85	10.57
47.91.16.198	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	201	10.57
8.219.72.50	443	443	TRUE	SIN	Asia Pacific	Singapore	45	10.57
47.74.40.13	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	170	10.56
8.222.154.50	2052	2052	FALSE	SIN	Asia Pacific	Singapore	13	10.56
8.218.22.210	8080	8080	FALSE	SIN	Asia Pacific	Singapore	78	10.55
47.74.5.99	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	73	10.55
8.218.156.91	2096	2096	TRUE	SIN	Asia Pacific	Singapore	123	10.55
8.219.53.142	2096	2096	TRUE	SIN	Asia Pacific	Singapore	97	10.55
8.218.207.169	2052	2052	FALSE	SIN	Asia Pacific	Singapore	93	10.54
8.222.168.155	2053	2053	TRUE	SIN	Asia Pacific	Singapore	89	10.54
8.219.101.138	8443	8443	TRUE	SIN	Asia Pacific	Singapore	41	10.53
8.218.126.53	2052	2052	FALSE	SIN	Asia Pacific	Singapore	83	10.53
8.222.212.116	2087	2087	TRUE	SIN	Asia Pacific	Singapore	151	10.53
8.219.79.74	2095	2095	FALSE	SIN	Asia Pacific	Singapore	10	10.53
8.222.152.165	2086	2086	FALSE	SIN	Asia Pacific	Singapore	29	10.53
8.219.167.65	2096	2096	TRUE	SIN	Asia Pacific	Singapore	51	10.52
47.245.4.219	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	86	10.52
8.218.65.237	80	80	FALSE	HKG	Asia Pacific	Hong Kong	35	10.52
47.74.52.188	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	183	10.52
47.236.121.7	443	443	TRUE	SIN	Asia Pacific	Singapore	76	10.51
47.245.7.212	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	80	10.51
47.245.53.50	80	80	FALSE	LAX	North America	Los Angeles	185	10.51
47.245.57.38	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	168	10.51
47.245.37.41	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	73	10.51
8.219.75.44	8080	8080	FALSE	SIN	Asia Pacific	Singapore	23	10.51
8.222.208.38	2087	2087	TRUE	SIN	Asia Pacific	Singapore	109	10.51
47.245.56.121	2095	2095	FALSE	SIN	Asia Pacific	Singapore	151	10.51
8.219.93.5	2096	2096	TRUE	SIN	Asia Pacific	Singapore	57	10.51
8.222.221.90	443	443	TRUE	SIN	Asia Pacific	Singapore	143	10.5
47.74.27.211	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	80	10.5
