IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
34.90.195.109	443	443	TRUE	FRA	Europe	Frankfurt	175	9.57
35.234.78.66	443	443	TRUE	FRA	Europe	Frankfurt	176	9.56
34.118.42.132	443	0	TRUE	FRA	Europe	Frankfurt	199	9.56
34.89.159.78	443	443	TRUE	FRA	Europe	Frankfurt	166	9.56
34.118.112.23	443	443	TRUE	FRA	Europe	Frankfurt	192	9.55
34.65.11.8	443	443	TRUE	FRA	Europe	Frankfurt	173	9.55
34.65.127.153	443	443	TRUE	FRA	Europe	Frankfurt	178	9.55
34.154.193.123	443	443	TRUE	FRA	Europe	Frankfurt	178	9.55
34.154.131.153	443	443	TRUE	FRA	Europe	Frankfurt	191	9.51
34.65.213.254	443	443	TRUE	FRA	Europe	Frankfurt	177	9.51
34.147.41.178	443	443	TRUE	FRA	Europe	Frankfurt	178	9.5
34.107.119.215	443	443	TRUE	FRA	Europe	Frankfurt	202	9.5
34.154.72.129	443	443	TRUE	FRA	Europe	Frankfurt	182	9.48
34.154.239.19	443	443	TRUE	FRA	Europe	Frankfurt	211	9.47
34.118.1.108	443	443	TRUE	FRA	Europe	Frankfurt	190	9.46
34.65.193.225	443	443	TRUE	FRA	Europe	Frankfurt	175	9.45
34.65.151.92	443	443	TRUE	FRA	Europe	Frankfurt	176	9.41
34.118.126.252	443	443	TRUE	FRA	Europe	Frankfurt	195	9.41
34.154.7.209	443	443	TRUE	FRA	Europe	Frankfurt	228	9.41
34.89.151.141	443	443	TRUE	FRA	Europe	Frankfurt	170	9.41
34.65.185.192	443	443	TRUE	FRA	Europe	Frankfurt	183	9.39
34.118.12.114	443	443	TRUE	FRA	Europe	Frankfurt	193	9.39
34.118.3.82	443	443	TRUE	FRA	Europe	Frankfurt	191	9.39
34.65.243.157	443	443	TRUE	FRA	Europe	Frankfurt	179	9.38
34.118.111.208	443	443	TRUE	FRA	Europe	Frankfurt	195	9.38
34.66.72.229	443	443	TRUE	ORD	North America	Chicago	196	9.38
34.118.115.199	443	443	TRUE	FRA	Europe	Frankfurt	188	9.38
34.154.143.35	443	443	TRUE	FRA	Europe	Frankfurt	249	9.38
34.65.52.186	443	443	TRUE	FRA	Europe	Frankfurt	180	9.37
34.89.168.9	443	443	TRUE	FRA	Europe	Frankfurt	171	9.37
34.90.233.120	443	443	TRUE	FRA	Europe	Frankfurt	179	9.37
34.118.46.250	443	443	TRUE	FRA	Europe	Frankfurt	189	9.35
34.118.112.135	443	443	TRUE	FRA	Europe	Frankfurt	202	9.35
34.116.132.252	443	443	TRUE	FRA	Europe	Frankfurt	191	9.34
34.118.83.159	443	443	TRUE	FRA	Europe	Frankfurt	190	9.34
