IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.92.89	2052	2052	FALSE	SIN	Asia Pacific	Singapore	8	8.3
47.74.52.188	2086	2086	FALSE	SIN	Asia Pacific	Singapore	168	8.3
8.219.106.15	2082	2082	FALSE	SIN	Asia Pacific	Singapore	15	8.3
8.219.102.252	8443	8443	TRUE	SIN	Asia Pacific	Singapore	104	8.3
47.236.104.11	8443	8443	TRUE	SIN	Asia Pacific	Singapore	36	8.3
47.236.144.156	2095	2095	FALSE	SIN	Asia Pacific	Singapore	37	8.3
8.218.85.128	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	85	8.3
8.219.159.232	2096	2096	TRUE	SIN	Asia Pacific	Singapore	99	8.3
8.219.56.205	80	80	FALSE	SIN	Asia Pacific	Singapore	4	8.3
47.236.116.26	443	443	TRUE	SIN	Asia Pacific	Singapore	76	8.3
47.236.75.113	8080	8080	FALSE	SIN	Asia Pacific	Singapore	18	8.3
8.219.137.50	443	443	TRUE	SIN	Asia Pacific	Singapore	83	8.3
8.219.167.113	2053	2053	TRUE	SIN	Asia Pacific	Singapore	37	8.29
47.74.27.94	8080	8080	FALSE	LAX	North America	Los Angeles	191	8.29
8.217.207.60	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	69	8.29
8.219.145.245	8443	8443	TRUE	SIN	Asia Pacific	Singapore	73	8.29
47.74.11.9	2082	2082	FALSE	SIN	Asia Pacific	Singapore	166	8.28
8.219.98.13	2096	2096	TRUE	SIN	Asia Pacific	Singapore	180	8.28
8.219.124.227	2082	2082	FALSE	SIN	Asia Pacific	Singapore	49	8.28
8.219.210.64	8443	8443	TRUE	SIN	Asia Pacific	Singapore	72	8.28
47.91.2.165	2096	0	TRUE	SIN	Asia Pacific	Singapore	154	8.28
