IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
8.219.185.191	2087	2087	TRUE	SIN	Asia Pacific	Singapore	92	8.82
8.219.152.195	80	80	FALSE	SIN	Asia Pacific	Singapore	26	8.82
8.222.145.164	2086	2086	FALSE	SIN	Asia Pacific	Singapore	17	8.82
47.74.41.87	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	123	8.82
47.91.3.179	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	155	8.81
8.219.175.127	2096	2096	TRUE	SIN	Asia Pacific	Singapore	119	8.81
47.74.18.121	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	295	8.81
47.74.45.143	2086	2086	FALSE	LAX	North America	Los Angeles	182	8.81
47.74.37.50	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	166	8.81
8.219.60.130	2082	2082	FALSE	SIN	Asia Pacific	Singapore	4	8.8
8.218.18.235	2053	2053	TRUE	HKG	Asia Pacific	Hong Kong	59	8.8
47.236.116.208	8080	8080	FALSE	SIN	Asia Pacific	Singapore	21	8.8
8.218.18.132	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	72	8.8
8.219.73.21	2096	2096	TRUE	SIN	Asia Pacific	Singapore	120	8.8
8.222.214.13	2082	2082	FALSE	SIN	Asia Pacific	Singapore	38	8.8
47.74.41.136	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	192	8.8
47.243.162.49	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	34	8.79
8.219.124.227	8443	8443	TRUE	SIN	Asia Pacific	Singapore	158	8.79
8.209.252.13	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	82	8.79
8.219.56.205	2096	2096	TRUE	SIN	Asia Pacific	Singapore	67	8.79
8.222.224.163	2082	2082	FALSE	SIN	Asia Pacific	Singapore	26	8.78
8.222.129.245	2087	2087	TRUE	SIN	Asia Pacific	Singapore	81	8.78
47.74.43.95	8080	8080	FALSE	LAX	North America	Los Angeles	178	8.78
8.219.113.27	2053	2053	TRUE	SIN	Asia Pacific	Singapore	71	8.78
8.222.240.47	2086	2086	FALSE	SIN	Asia Pacific	Singapore	20	8.78
47.74.45.143	2053	2053	TRUE	LAX	North America	Los Angeles	338	8.77
47.74.44.57	2095	2095	FALSE	LAX	North America	Los Angeles	179	8.77
47.236.119.253	80	80	FALSE	SIN	Asia Pacific	Singapore	22	8.77
47.74.52.104	2052	2052	FALSE	SIN	Asia Pacific	Singapore	156	8.77
8.219.77.222	2096	2096	TRUE	SIN	Asia Pacific	Singapore	129	8.77
8.222.214.13	80	80	FALSE	SIN	Asia Pacific	Singapore	12	8.77
8.222.137.178	2086	2086	FALSE	SIN	Asia Pacific	Singapore	12	8.77
47.74.5.150	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	79	8.76
8.219.237.250	2083	2083	TRUE	SIN	Asia Pacific	Singapore	58	8.76
8.222.211.124	2086	2086	FALSE	SIN	Asia Pacific	Singapore	24	8.76
47.74.34.162	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	176	8.76
47.236.104.98	443	443	TRUE	SIN	Asia Pacific	Singapore	85	8.76
8.219.145.245	2096	2096	TRUE	SIN	Asia Pacific	Singapore	153	8.76
8.222.137.178	2082	2082	FALSE	SIN	Asia Pacific	Singapore	12	8.76
8.222.202.163	2086	2086	FALSE	SIN	Asia Pacific	Singapore	5	8.75
47.74.22.171	2096	2096	TRUE	LAX	North America	Los Angeles	259	8.75
8.222.144.117	2052	2052	FALSE	SIN	Asia Pacific	Singapore	29	8.75
8.219.228.30	2096	2096	TRUE	SIN	Asia Pacific	Singapore	56	8.75
8.219.172.128	8880	8880	FALSE	SIN	Asia Pacific	Singapore	23	8.75
