47.242.36.78	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	15289 kB/s
47.76.204.76	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	14916 kB/s
47.242.36.78	2053	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	13599 kB/s
47.238.40.58	2053	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	13140 kB/s
8.218.243.95	2083	TRUE	HKG	Asia Pacific	Hong Kong	75 ms	12798 kB/s
8.218.243.95	8443	TRUE	HKG	Asia Pacific	Hong Kong	61 ms	12091 kB/s
47.76.37.57	2087	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	11362 kB/s
47.76.159.146	2053	TRUE	HKG	Asia Pacific	Hong Kong	60 ms	11275 kB/s
8.218.243.95	2087	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	10655 kB/s
47.242.36.78	2083	TRUE	HKG	Asia Pacific	Hong Kong	65 ms	10150 kB/s
47.76.77.103	2053	TRUE	HKG	Asia Pacific	Hong Kong	59 ms	10149 kB/s
47.76.159.146	2087	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	9751 kB/s
8.210.39.96	2053	TRUE	HKG	Asia Pacific	Hong Kong	57 ms	9312 kB/s
47.76.178.146	2096	TRUE	HKG	Asia Pacific	Hong Kong	67 ms	9309 kB/s
47.242.174.27	2083	TRUE	HKG	Asia Pacific	Hong Kong	64 ms	9210 kB/s
47.243.169.63	8443	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	8854 kB/s
47.243.169.63	2087	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	8602 kB/s
8.219.117.198	8443	TRUE	SIN	Asia Pacific	Singapore	242 ms	8446 kB/s
47.76.37.57	2083	TRUE	HKG	Asia Pacific	Hong Kong	98 ms	8348 kB/s
8.219.161.129	2087	TRUE	SIN	Asia Pacific	Singapore	207 ms	8298 kB/s
35.201.203.106	443	TRUE	TPE	Asia Pacific	Taipei	83 ms	26870 kB/s
