65.75.193.21	37813	TRUE	SJC	North America	San Jose	174 ms	10862 kB/s
65.75.194.109	20443	TRUE	SJC	North America	San Jose	168 ms	8251 kB/s
13.230.34.30	80	FALSE	NRT	Asia Pacific	Tokyo	69 ms	21328 kB/s
15.165.49.161	8080	TRUE	ICN	Asia Pacific	Seoul	106 ms	16462 kB/s
13.250.131.37	443	TRUE	SIN	Asia Pacific	Singapore	94 ms	12716 kB/s
18.167.194.154	443	TRUE	HKG	Asia Pacific	Hong Kong	135 ms	11885 kB/s
54.150.91.84	443	TRUE	NRT	Asia Pacific	Tokyo	73 ms	11745 kB/s
99.83.209.185	443	TRUE	IAD	North America	Ashburn	173 ms	10157 kB/s
52.9.112.189	443	TRUE	SJC	North America	San Jose	183 ms	8820 kB/s
140.238.29.117	443	FALSE	NRT	Asia Pacific	Tokyo	88 ms	9205 kB/s
64.110.88.46	443	TRUE	ICN	Asia Pacific	Seoul	84 ms	21079 kB/s
150.230.47.17	443	TRUE	SJC	North America	San Jose	178 ms	9579 kB/s
192.9.246.112	8443	TRUE	SJC	North America	San Jose	202 ms	9217 kB/s
47.76.146.1	8880	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	25333 kB/s
8.217.251.62	8080	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	23663 kB/s
8.218.243.95	8880	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	23213 kB/s
8.217.239.116	8880	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	18716 kB/s
47.243.139.243	2052	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	16839 kB/s
47.238.40.58	2086	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	16330 kB/s
47.76.37.57	2052	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	16127 kB/s
47.76.204.76	80	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	15026 kB/s
47.76.37.57	2086	FALSE	HKG	Asia Pacific	Hong Kong	71 ms	14587 kB/s
47.76.159.146	8880	FALSE	HKG	Asia Pacific	Hong Kong	66 ms	13438 kB/s
47.238.6.102	80	FALSE	HKG	Asia Pacific	Hong Kong	84 ms	13019 kB/s
47.76.204.76	8880	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	12878 kB/s
47.242.174.27	8880	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	12324 kB/s
47.238.40.58	8080	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	12175 kB/s
47.238.40.58	80	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	12095 kB/s
47.238.6.102	2082	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	12059 kB/s
47.238.6.102	8080	FALSE	HKG	Asia Pacific	Hong Kong	73 ms	11692 kB/s
8.217.221.165	8880	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	11691 kB/s
47.76.204.76	2052	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	11027 kB/s
47.243.169.63	2082	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	10987 kB/s
8.217.221.165	2086	FALSE	HKG	Asia Pacific	Hong Kong	63 ms	10856 kB/s
47.76.159.146	8080	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	10773 kB/s
47.76.146.1	80	FALSE	HKG	Asia Pacific	Hong Kong	55 ms	10513 kB/s
47.242.36.78	2052	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	10475 kB/s
47.76.146.1	2095	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	10324 kB/s
47.76.146.1	2052	FALSE	HKG	Asia Pacific	Hong Kong	64 ms	10208 kB/s
47.76.146.1	8080	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	9946 kB/s
8.217.251.62	2052	FALSE	HKG	Asia Pacific	Hong Kong	62 ms	9850 kB/s
47.243.234.9	2082	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	9742 kB/s
8.217.221.165	2095	FALSE	HKG	Asia Pacific	Hong Kong	65 ms	9649 kB/s
47.76.159.146	2086	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	9576 kB/s
8.218.201.73	2082	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	9536 kB/s
47.238.6.102	2052	FALSE	HKG	Asia Pacific	Hong Kong	56 ms	9348 kB/s
47.76.204.76	2086	FALSE	HKG	Asia Pacific	Hong Kong	59 ms	9302 kB/s
8.218.181.189	2082	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	8976 kB/s
47.236.169.141	2052	FALSE	SIN	Asia Pacific	Singapore	213 ms	8756 kB/s
47.242.174.27	2086	FALSE	HKG	Asia Pacific	Hong Kong	61 ms	8453 kB/s
8.217.239.116	2052	FALSE	HKG	Asia Pacific	Hong Kong	60 ms	8383 kB/s
8.217.251.62	2086	FALSE	HKG	Asia Pacific	Hong Kong	57 ms	8237 kB/s
8.219.117.198	2082	FALSE	SIN	Asia Pacific	Singapore	217 ms	8174 kB/s
47.242.174.27	2082	FALSE	HKG	Asia Pacific	Hong Kong	58 ms	8126 kB/s
8.219.113.232	8880	FALSE	SIN	Asia Pacific	Singapore	238 ms	8095 kB/s
8.217.221.165	2087	TRUE	HKG	Asia Pacific	Hong Kong	72 ms	26327 kB/s
47.76.37.57	2096	TRUE	HKG	Asia Pacific	Hong Kong	80 ms	22594 kB/s
47.238.40.58	2087	TRUE	HKG	Asia Pacific	Hong Kong	70 ms	17617 kB/s
47.76.146.1	2053	TRUE	HKG	Asia Pacific	Hong Kong	58 ms	16073 kB/s
